72.800003,72,72.800003,72.400002,72.400002,71.400002
73,72.199997,73.199997,72.599998,72.800003,71.599998
73.400002,72.599998,73.400002,72.599998,72.800003,72
73.599998,72.800003,73.599998,73,73.199997,72.400002
73.800003,73,73.599998,73.400002,73.400002,72.800003
74.199997,73.199997,73.800003,73.400002,73.599998,73
74.599998,73.400002,74,73.800003,73.599998,73.400002
74.599998,73.599998,74.199997,73.800003,74,73.599998
74.800003,73.800003,74.400002,74.199997,74.400002,73.599998
74.800003,73.800003,74.599998,74.199997,74.400002,73.800003
75,74,74.599998,74.400002,74.599998,74
75,74.199997,74.800003,74.599998,74.800003,74.199997
75.199997,74.400002,75.199997,74.800003,75.199997,74.400002
75.199997,74.400002,75.199997,75,75.400002,74.599998
75.400002,74.800003,75.199997,75.199997,75.199997,75
75.599998,75,75.199997,75,75.199997,75
75.599998,75.199997,75.400002,75,75.400002,75
75.800003,75.199997,75.400002,75.199997,75.400002,75.400002
75.800003,75.199997,75.400002,75.599998,75.400002,75.599998
75.800003,75.199997,75.599998,75.599998,75.599998,75.599998
75.800003,75.400002,75.599998,75.400002,75.599998,75.800003
75.800003,75.400002,75.599998,75.400002,75.599998,75.800003
75.800003,75.400002,75.800003,75.400002,75.599998,75.800003
76,75.599998,76,75.400002,75.599998,75.800003
76,75.800003,75.800003,75.599998,75.599998,76
76,75.800003,75.800003,75.599998,75.800003,76.199997
76,75.599998,75.800003,75.800003,75.800003,76
75.800003,75.599998,76,75.599998,75.800003,76
75.800003,75.599998,76,75.800003,76,76.199997
76,75.599998,76,75.800003,76.199997,76.199997
76,75.800003,76,75.800003,76.199997,76.400002
76,75.800003,76,76,76.199997,76.199997
76,75.800003,75.800003,75.800003,76.199997,76.199997
76,75.800003,75.800003,76,76,76.199997
75.800003,75.800003,75.800003,75.800003,76,76.199997
75.800003,75.800003,75.800003,75.800003,76,76.199997
76,76,76,76,75.800003,76.199997
76,76,76,76,76,76.199997
75.800003,75.800003,75.800003,76,76,76.199997
76,75.800003,76,76,76,76.400002
76.199997,76,76.199997,76,76.199997,76.599998
76.199997,76,76.199997,76,76.199997,76.599998
76,75.800003,76.199997,76.400002,76.199997,76.800003
76,75.800003,76,76,76.199997,76.800003
76.199997,75.800003,76,76.199997,76.199997,76.800003
76.199997,75.800003,76,76.400002,76.400002,76.599998
76.199997,75.800003,76.199997,76.400002,76.400002,77
76.199997,75.800003,76.400002,76.400002,76.400002,77.599998
76,76,76.400002,76.400002,76.400002,77.800003
76,76,76.199997,76.400002,76.400002,78
76.199997,75.800003,76.199997,76.599998,76.800003,78.400002
