-2.7072999,-2.56142,-2.46071,-2.3484001,-2.25105,-2.1527801,-2.0615301,-1.9632601,-1.86041,-1.77038,-1.67089,-1.57903,-1.489,-1.4008,-1.31016
-2.7063799,-2.5604999,-2.45979,-2.34779,-2.2504301,-2.15186,-2.0606101,-1.96234,-1.8598,-1.76946,-1.67028,-1.57842,-1.48808,-1.40019,-1.30924
-2.70608,-2.55989,-2.4591801,-2.3471799,-2.2495201,-2.1512499,-2.0599999,-1.96173,-1.85888,-1.76885,-1.66936,-1.5775,-1.48747,-1.39958,-1.30863
-2.7051599,-2.5595901,-2.45857,-2.34657,-2.24891,-2.15064,-2.0593901,-1.96112,-1.85827,-1.76824,-1.66875,-1.5765899,-1.48686,-1.39897,-1.30802
-2.70455,-2.55898,-2.4579599,-2.3459599,-2.2483001,-2.1500299,-2.05878,-1.96051,-1.8576601,-1.76794,-1.6681401,-1.5759799,-1.48625,-1.39836,-1.30741
-2.70363,-2.5583701,-2.45735,-2.34535,-2.24769,-2.1491101,-2.0581701,-1.9599,-1.8570499,-1.7673301,-1.6675299,-1.57537,-1.48564,-1.39744,-1.3068
-2.7030201,-2.55776,-2.4567399,-2.3447399,-2.2467699,-2.1485,-2.0578599,-1.95929,-1.8564399,-1.7667201,-1.6669199,-1.57476,-1.4850301,-1.39653,-1.30589
-2.70241,-2.5571499,-2.45613,-2.34413,-2.2458601,-2.1478901,-2.0569501,-1.95868,-1.85583,-1.7658,-1.66631,-1.57384,-1.4844199,-1.39622,-1.30528
-2.7018001,-2.5562301,-2.4555199,-2.3435199,-2.24525,-2.14728,-2.05634,-1.95837,-1.85522,-1.76519,-1.6657,-1.57323,-1.4838099,-1.39561,-1.30467
-2.7014999,-2.55562,-2.45491,-2.3429101,-2.2446401,-2.1466701,-2.0557301,-1.95776,-1.85461,-1.76458,-1.66509,-1.57262,-1.4832,-1.395,-1.30406
-2.7008901,-2.5550101,-2.4542999,-2.3422999,-2.24403,-2.14606,-2.05512,-1.95715,-1.85369,-1.76397,-1.66448,-1.5717,-1.48259,-1.3940901,-1.30345
-2.70028,-2.5546999,-2.4536901,-2.3413799,-2.2434199,-2.1454501,-2.0545101,-1.95654,-1.85308,-1.76366,-1.66387,-1.57109,-1.48198,-1.3934799,-1.30314
-2.6993599,-2.5537901,-2.45277,-2.34077,-2.24281,-2.14484,-2.0541999,-1.9556299,-1.85247,-1.76305,-1.66326,-1.57048,-1.48167,-1.3928601,-1.3025301
