5.30565340297 - 0.0im
5.28743316131 - 0.0im
5.25717460517 - 0.0im
5.2150396893 - 0.0im
5.16125352069 - 0.0im
5.09610273061 + 0.0im
5.01993338321 - 0.0im
4.93314842079 - 0.0im
4.83620464483 - 0.0im
4.72960922901 - 0.0im
4.61391575697 - 0.0im
4.4897197717 - 0.0im
4.35765381429 - 0.0im
4.21838191686 - 0.0im
4.07259349461 + 0.0im
3.9209965522 - 0.0im
3.76431007459 - 0.0im
3.60325540204 - 0.0im
3.43854627741 - 0.0im
3.27087707156 + 0.0im
3.10090838471 + 0.0im
2.92924868224 + 0.0im
2.75642963446 + 0.0im
2.58287091904 - 0.0im
2.40882630668 - 0.0im
2.23429406622 + 0.0im
2.05885303902 - 0.0im
1.88132448315 + 0.0im
1.69895051657 + 0.0im
1.50481515326 - 0.0im
1.27407151596 - 0.0im
0.75293419882 + 0.65809580781im
0.76171957622 + 0.64790685072im
0.77630457612 + 0.63035799756im
0.75293419882 - 0.65809580781im
0.76171957622 - 0.64790685072im
0.77630457612 - 0.63035799756im
0.79660360795 + 0.60450201969im
0.79660360795 - 0.60450201969im
0.8224975489 + 0.56876865425im
0.8224975489 - 0.56876865425im
0.85383444304 - 0.52054466079im
0.85383444304 + 0.52054466079im
0.89043039301 - 0.45511945157im
0.89043039301 + 0.45511945157im
0.93207063923 - 0.36227658423im
0.93207063923 + 0.36227658423im
0.97851082018 - 0.20619547714im
0.97851082018 + 0.20619547714im
0.78488529684 - 0.0im
0.6645334464 - 0.0im
0.58859866149 - 0.0im
0.53154041685 - 0.0im
0.48570732396 - 0.0im
0.44756865943 - 0.0im
0.4151399365 + 0.0im
0.38716607657 - 0.0im
0.36278814721 + 0.0im
0.34138446697 + 0.0im
0.32248614791 - 0.0im
0.30572839582 - 0.0im
0.29082057338 + 0.0im
0.27752681629 - 0.0im
0.2656529298 - 0.0im
0.25503720462 - 0.0im
0.24554377974 - 0.0im
0.23705772017 + 0.0im
0.22948128571 - 0.0im
0.22273105023 + 0.0im
0.21673564336 + 0.0im
0.21143395819 + 0.0im
0.20677371481 + 0.0im
0.20271030075 - 0.0im
0.18847819939 - 0.0im
0.19622838331 - 0.0im
0.19920583077 - 0.0im
0.19175309481 + 0.0im
0.19021624258 - 0.0im
0.18912768625 - 0.0im
0.19375138152 - 0.0im
