 (5.305653-0.000000j)
 (5.287433-0.000000j)
 (5.257175-0.000000j)
 (5.215040-0.000000j)
 (5.161254-0.000000j)
 (5.096103-0.000000j)
 (5.019933-0.000000j)
 (4.933148-0.000000j)
 (4.836205-0.000000j)
 (4.729609-0.000000j)
 (4.613916-0.000000j)
 (4.489720+0.000000j)
 (4.357654+0.000000j)
 (4.218382-0.000000j)
 (4.072593-0.000000j)
 (3.920997+0.000000j)
 (3.764310+0.000000j)
 (3.603255-0.000000j)
 (3.438546-0.000000j)
 (3.270877-0.000000j)
 (3.100908+0.000000j)
 (2.929249+0.000000j)
 (2.756430-0.000000j)
 (2.582871-0.000000j)
 (2.408826+0.000000j)
 (2.234294+0.000000j)
 (2.058853-0.000000j)
 (1.881324+0.000000j)
 (1.698951-0.000000j)
 (1.504815+0.000000j)
 (1.274072+0.000000j)
 (0.752934+0.658096j)
 (0.761720+0.647907j)
 (0.776305+0.630358j)
 (0.752934-0.658096j)
 (0.761720-0.647907j)
 (0.776305-0.630358j)
 (0.796604+0.604502j)
 (0.796604-0.604502j)
 (0.822498+0.568769j)
 (0.822498-0.568769j)
 (0.853834-0.520545j)
 (0.853834+0.520545j)
 (0.890430-0.455119j)
 (0.890430+0.455119j)
 (0.932071-0.362277j)
 (0.932071+0.362277j)
 (0.978511-0.206195j)
 (0.978511+0.206195j)
 (0.784885-0.000000j)
 (0.664533+0.000000j)
 (0.588599-0.000000j)
 (0.531540+0.000000j)
 (0.485707-0.000000j)
 (0.447569+0.000000j)
 (0.415140+0.000000j)
 (0.387166-0.000000j)
 (0.362788+0.000000j)
 (0.341384-0.000000j)
 (0.322486+0.000000j)
 (0.305728-0.000000j)
 (0.290821-0.000000j)
 (0.277527-0.000000j)
 (0.265653-0.000000j)
 (0.255037+0.000000j)
 (0.245544-0.000000j)
 (0.237058+0.000000j)
 (0.229481+0.000000j)
 (0.222731-0.000000j)
 (0.216736-0.000000j)
 (0.211434+0.000000j)
 (0.206774+0.000000j)
 (0.202710-0.000000j)
 (0.188478-0.000000j)
 (0.196228-0.000000j)
 (0.199206+0.000000j)
 (0.191753-0.000000j)
 (0.190216+0.000000j)
 (0.189128-0.000000j)
 (0.193751+0.000000j)
