0.0 - 0.06476258612963118im,-0.0 - 0.10750942799276249im,0.0 - 0.11286138838511625im,0.0 - 0.07702971323930298im,0.0 - 0.0096774208183976im,0.0 - 0.06811995690331035im,0.0 + 0.12967276042269618im,0.0 + 0.15092534002225558im,0.0 - 0.11893905592820654im
0.0 - 0.07162066663173892im,-0.0 - 0.11214367104202178im,0.0 - 0.1028257743591025im,0.0 - 0.04525793931612107im,0.0 + 0.03814377141280898im,0.0 - 0.11188932802672247im,-0.0 + 0.1411689651125142im,0.0 + 0.1066065488502138im,-0.0 - 0.013129894917459929im
0.0 - 0.07805844857371423im,-0.0 - 0.11414936148093667im,0.0 - 0.08738058351899128im,0.0 - 0.009267798883694051im,0.0 + 0.08043430376653173im,0.0 - 0.13242276702651148im,-0.0 + 0.11301634327845944im,-0.0 + 0.023467912668797893im,-0.0 + 0.0986799122126873im
0.0 - 0.08403815250887263im,-0.0 - 0.11347948763477947im,0.0 - 0.06733837425286374im,0.0 + 0.02758616729187214im,0.0 + 0.11106225638735771im,0.0 - 0.12545611751612779im,-0.0 + 0.053121862451328224im,-0.0 - 0.06821635921744269im,-0.0 + 0.16539086397801384im
0.0 - 0.08952468715195354im,-0.0 - 0.11014975078875619im,0.0 - 0.04375355020521047im,0.0 + 0.06186890361404073im,0.0 + 0.1255867262751233im,0.0 - 0.09243613582688305im,-0.0 - 0.021692466426320525im,-0.0 - 0.13506023885912644im,-0.0 + 0.15651461179620682im
0.0 - 0.09448585533770747im,0.0 - 0.10423819713010013im,0.0 - 0.017866888977728965im,0.0 + 0.0903850116730688im,0.0 + 0.1219017365059019im,-0.0 - 0.04022004477674607im,-0.0 - 0.09041423212777946im,-0.0 - 0.15272311044736808im,-0.0 + 0.07610779499549959im
0.0 - 0.09889254294364634im,0.0 - 0.09588338849115445im,0.0 + 0.0089597341324139im,-0.0 + 0.11047658443466934im,0.0 + 0.10054159253170994im,-0.0 + 0.020348498160813563im,-0.0 - 0.13374218552887585im,-0.0 - 0.11477319335144903im,-0.0 - 0.03908193113317682im
0.0 - 0.10271888979080089im,0.0 - 0.08528115448303702im,0.0 + 0.03531499323038899im,-0.0 + 0.12027094234592839im,-0.0 + 0.0646034105151721im,-0.0 + 0.07669129116853599im,0.0 - 0.13950720357257443im,-0.0 - 0.03502961888293578im,0.0 - 0.13641036896968725im
0.0 - 0.10594244133909872im,0.0 - 0.07268000249625044im,0.0 + 0.059812360461497315im,-0.0 + 0.11885518057549542im,-0.0 + 0.01929805067655769im,-0.0 + 0.11710768915569113im,0.0 - 0.10609011877426404im,0.0 + 0.057469685778939635im,-0.0 - 0.1713963162251209im
0.0 - 0.1085442805240349im,0.0 - 0.05837529286196174im,0.0 + 0.08116305012541528im,-0.0 + 0.10636125832378121im,-0.0 - 0.028805431910166004im,-0.0 + 0.1332044637874826im,0.0 - 0.04287647982594587im,0.0 + 0.1290419055961005im,-0.0 - 0.12805043789364132im
0.0 - 0.11050913871149867im,0.0 - 0.04270231583045747im,0.0 + 0.09824382053161287im,-0.0 + 0.08395369929366095im,-0.0 - 0.07273226807494071im,-0.0 + 0.12163881581098109im,0.0 + 0.032379480954677915im,0.0 + 0.15362464092358155im,-0.0 - 0.02618273838279356im
0.0 - 0.1118254853269864im,-0.0 - 0.026028432712632204im,0.0 + 0.11015606681923087im,-0.0 + 0.05372104970286068im,-0.0 - 0.10611328192873648im,0.0 + 0.08481257044337509im,0.0 + 0.09854131526087949im,0.0 + 0.12226630311359206im,0.0 + 0.08765103916963196im
0.0 - 0.11248559553052628im,-0.0 - 0.008744465188809886im,0.0 + 0.11627309582439871im,-0.0 + 0.01848121063527436im,-0.0 - 0.12410839008728491im,0.0 + 0.03037339304576709im,0.0 + 0.137026758311909im,0.0 + 0.04638575737244041im,0.0 + 0.1614263950252775im
-0.0 - 0.11248559553052628im,-0.0 + 0.008744465188809886im,0.0 + 0.11627309582439871im,-0.0 - 0.01848121063527436im,-0.0 - 0.12410839008728491im,0.0 - 0.03037339304576709im,-0.0 + 0.137026758311909im,0.0 - 0.04638575737244041im,0.0 + 0.1614263950252775im
-0.0 - 0.1118254853269864im,-0.0 + 0.026028432712632204im,0.0 + 0.11015606681923087im,-0.0 - 0.05372104970286068im,-0.0 - 0.10611328192873648im,0.0 - 0.08481257044337509im,-0.0 + 0.09854131526087949im,0.0 - 0.12226630311359206im,0.0 + 0.08765103916963196im
-0.0 - 0.11050913871149867im,-0.0 + 0.04270231583045747im,0.0 + 0.09824382053161287im,-0.0 - 0.08395369929366095im,0.0 - 0.07273226807494071im,0.0 - 0.12163881581098109im,-0.0 + 0.032379480954677915im,-0.0 - 0.15362464092358155im,0.0 - 0.02618273838279356im
-0.0 - 0.1085442805240349im,-0.0 + 0.05837529286196174im,-0.0 + 0.08116305012541528im,-0.0 - 0.10636125832378121im,0.0 - 0.028805431910166004im,0.0 - 0.1332044637874826im,-0.0 - 0.04287647982594587im,0.0 - 0.1290419055961005im,-0.0 - 0.12805043789364132im
-0.0 - 0.10594244133909872im,-0.0 + 0.07268000249625044im,-0.0 + 0.059812360461497315im,-0.0 - 0.11885518057549542im,0.0 + 0.01929805067655769im,-0.0 - 0.11710768915569113im,-0.0 - 0.10609011877426404im,0.0 - 0.057469685778939635im,-0.0 - 0.1713963162251209im
-0.0 - 0.10271888979080089im,-0.0 + 0.08528115448303702im,-0.0 + 0.03531499323038899im,-0.0 - 0.12027094234592839im,0.0 + 0.0646034105151721im,-0.0 - 0.07669129116853599im,0.0 - 0.13950720357257443im,-0.0 + 0.03502961888293578im,-0.0 - 0.13641036896968725im
-0.0 - 0.09889254294364634im,-0.0 + 0.09588338849115445im,-0.0 + 0.0089597341324139im,-0.0 - 0.11047658443466934im,0.0 + 0.10054159253170994im,-0.0 - 0.020348498160813563im,0.0 - 0.13374218552887585im,-0.0 + 0.11477319335144903im,-0.0 - 0.03908193113317682im
-0.0 - 0.09448585533770747im,-0.0 + 0.10423819713010013im,-0.0 - 0.017866888977728965im,-0.0 - 0.0903850116730688im,0.0 + 0.1219017365059019im,-0.0 + 0.04022004477674607im,0.0 - 0.09041423212777946im,-0.0 + 0.15272311044736808im,0.0 + 0.07610779499549959im
-0.0 - 0.08952468715195354im,-0.0 + 0.11014975078875619im,-0.0 - 0.04375355020521047im,0.0 - 0.06186890361404073im,0.0 + 0.1255867262751233im,-0.0 + 0.09243613582688305im,0.0 - 0.021692466426320525im,-0.0 + 0.13506023885912644im,0.0 + 0.15651461179620682im
-0.0 - 0.08403815250887263im,-0.0 + 0.11347948763477947im,-0.0 - 0.06733837425286374im,0.0 - 0.02758616729187214im,0.0 + 0.11106225638735771im,-0.0 + 0.12545611751612779im,0.0 + 0.053121862451328224im,0.0 + 0.06821635921744269im,0.0 + 0.16539086397801384im
-0.0 - 0.07805844857371423im,-0.0 + 0.11414936148093667im,-0.0 - 0.08738058351899128im,0.0 + 0.009267798883694051im,0.0 + 0.08043430376653173im,-0.0 + 0.13242276702651148im,0.0 + 0.11301634327845944im,-0.0 - 0.023467912668797893im,0.0 + 0.0986799122126873im
-0.0 - 0.07162066663173892im,-0.0 + 0.11214367104202178im,-0.0 - 0.1028257743591025im,0.0 + 0.04525793931612107im,0.0 + 0.03814377141280898im,0.0 + 0.11188932802672247im,-0.0 + 0.1411689651125142im,-0.0 - 0.1066065488502138im,0.0 - 0.013129894917459929im
-0.0 - 0.06476258612963118im,-0.0 + 0.10750942799276249im,-0.0 - 0.11286138838511625im,0.0 + 0.07702971323930298im,0.0 - 0.0096774208183976im,0.0 + 0.06811995690331035im,-0.0 + 0.12967276042269618im,-0.0 - 0.15092534002225558im,-0.0 - 0.11893905592820654im
-0.0 - 0.05752445301238459im,-0.0 + 0.10035525508691241im,-0.0 - 0.1169594604349174im,-0.0 + 0.10162176204171804im,-0.0 - 0.05609543446378597im,0.0 + 0.010204190205269135im,-0.0 + 0.08175656233525598im,-0.0 - 0.1402859849372283im,-0.0 - 0.17039049449851923im
-0.0 - 0.04994874353904692im,-0.0 + 0.09084884005153478im,-0.0 - 0.11490439444477785im,-0.0 + 0.11674192933676185im,-0.0 - 0.09437988509585439im,0.0 - 0.04983066929788958im,-0.0 + 0.010878151875754416im,0.0 - 0.07856271194319346im,-0.0 - 0.14396978976659028im
-0.0 - 0.042079914982596014im,-0.0 + 0.07921300520240837im,-0.0 - 0.10680430565582244im,-0.0 + 0.12098090641079036im,-0.0 - 0.11897971507237719im,0.0 - 0.09951724921363425im,0.0 - 0.06305550487437409im,0.0 + 0.011768487415506894im,-0.0 - 0.05175177556013528im
-0.0 - 0.03396414474248814im,-0.0 + 0.06572048465327295im,-0.0 - 0.09308533290023838im,0.0 + 0.11394359002889298im,-0.0 - 0.1263280696124724im,0.0 - 0.12853719284786239im,0.0 - 0.11927934295472195im,0.0 + 0.09781429472352265im,0.0 + 0.06411791999727502im
-0.0 - 0.025649059410746532im,-0.0 + 0.05068753163641391im,-0.0 - 0.07446921968607223im,0.0 + 0.09628590886085009im,-0.0 - 0.11535947335532487im,0.0 - 0.13086396081668525im,-0.0 - 0.14200229101203513im,0.0 + 0.14824187970060762im,0.0 + 0.15068433859449956im
-0.0 - 0.017183455184534988im,-0.0 + 0.03446650585488516im,-0.0 - 0.05193534396642666im,0.0 + 0.06965368618821584im,-0.0 - 0.08766431897452981im,0.0 - 0.10601435582065726im,-0.0 - 0.12484236400745076im,-0.0 + 0.1446884770799604im,0.0 + 0.1683847535807669im
-0.0 - 0.00861701162218146im,-0.0 + 0.017437614380439094im,-0.0 - 0.026669193816919096im,0.0 + 0.03652923734308599im,-0.0 - 0.047258268088925325im,0.0 - 0.059148867633465774im,-0.0 - 0.0726191125188193im,-0.0 + 0.08844802743119573im,0.0 + 0.10912969227958044im
